"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"334519033816825856","Thu May 16 15:59:15 +0000 2013","0","@ChaoticBrony @Dusty_Kat They're just distracting us from Alicorn Twilight. Which I'm waiting for the S4 premier to know more about.","335061893892960259","","","en","127.0.0.1","0","0","0","https://x.com/AlsoAdrian/status/335061893892960259","19029985","AlsoAdrian"
"334968647300808704","Thu May 16 09:48:43 +0000 2013","0","@M_A_Larson Fuck alicorn twilight. .l. fucking cunt","334968647300808704","","M_A_Larson","en","","0","0","0","https://x.com/AlexBrendov/status/334968647300808704","1432651267","AlexBrendov"
"334855645918535680","Thu May 16 02:19:41 +0000 2013","0","I for one am looking foward to further stereotype breaking in Equestria Girls and the awesomeness that is alicorn Twilight!","334855645918535680","","","en","","0","1","1","https://x.com/U_Flame/status/334855645918535680","989754192","U_Flame"
"334812569594368000","Wed May 15 23:40:43 +0000 2013","0","@BeeHorseDiaries Love or hate alicorn Twilight it's clear from the start that she was going to have a different character arc.","334815639988473856","","","en","","0","0","0","https://x.com/RNS_OOC/status/334815639988473856","390102322","RNS_OOC"
"334801626357452800","Wed May 15 22:45:02 +0000 2013","0","I can't conjure up the same passion and confusion about Equestria Girls that got me to the most retweeted spot with Alicorn Twilight. #brony","334801626357452800","","","en","Calgary, Alberta, Canada","0","0","0","https://x.com/AlexanderThrond/status/334801626357452800","441349739","AlexanderThrond"
"334765502201204736","Wed May 15 20:21:30 +0000 2013","2","I've finally come to terms with the fact that Twilight is an alicorn princess now. I've realized that because I love her","334765502201204736","","","en","","0","0","0","https://x.com/mlp_txt/status/334765502201204736","422175875","mlp_txt"
"334695738116304897","Wed May 15 15:44:16 +0000 2013","2","#bronies ...Stop hating on each other stop hating on Twilight Alicorn stop hating on EqG. This hate will destroy the fandom and the show!","334695738116304897","","","en","Parts Unknown","0","0","6","https://x.com/Ol_Sarge/status/334695738116304897","325304603","Ol_Sarge"
"334659063021461504","Wed May 15 13:18:32 +0000 2013","0","Are people really being that negative to DHX about Equestria Girls? I feel the same way about this as I did about Alicorn Twilight: (contd)","334659063021461504","","","en","Fillynois, USA","0","0","0","https://x.com/SeekerBrony/status/334659063021461504","933901922","SeekerBrony"
"334532506978250752","Wed May 15 04:55:39 +0000 2013","0","EQUESTRIA GIRLS: Starring ALICORN TWILIGHT and PRINCESS CADANCE WHO IS ALSO AN ALICORN.","334532506978250752","","","en","judacris.there.social","0","0","0","https://x.com/judacris/status/334532506978250752","17591828","judacris"
"334524005241462786","Wed May 15 04:21:52 +0000 2013","0","#thankyouDHX for giving us 3 wonderful seasons with a movie and a 4th season on the way. Alicorn human or otherwise it's still Twilight","334524005241462786","","","en","Denver, CO","0","0","0","https://x.com/asmariamoon/status/334524005241462786","17956379","asmariamoon"
"334500201890983938","Wed May 15 04:11:09 +0000 2013","0","@steen182 yea I knew there would be backlash but apparently it's been worse than before ppl were already up in arms about alicorn twilight","334521306806640640","","","en","St Peters, MO","0","0","0","https://x.com/AfroCircuit/status/334521306806640640","61259146","AfroCircuit"
